i_factor,sample,blockNumber,blockHash,timeStamp,hash,nonce,transactionIndex,from,to,value,gas,gasPrice,input,methodId,functionName,contractAddress,cumulativeGasUsed,txreceipt_status,gasUsed,confirmations,isError
13,sample-1,18277746,0x5459bf25505c748562b05683263124197211a077c0e2c4ad360f34c09b292101,1696429631,0x5cd33f468d6cb3191f93eb6c34cbbe9b3f16d778569b94851821feedb1cc47dc,449,107,0x139245f77202a7e9f043d80e6cdd716b4c38ef05,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,11201500108,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,15869881,1,51978,2565712,0
13,sample-1,18277579,0x962a8101389a58762355791f933eb6d054b13f6d5996b1d90cb104e914c9ff80,1696427603,0x0015814cc2f6d35a71740e097b80788b94b97f1b988c1aa4e6e5461a4ba15b4d,374,167,0x3246afe718b618e77b09165e15f18e2cb8d37260,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,8783508291,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,19704395,1,51978,2565879,0
13,sample-1,18277566,0x455e69c51b77c169b81eec3d3702437104baa4a8b63777796d3bda18a329eb8e,1696427447,0x0b30614d784cb7515dc34ea3a561777ab57c1ecf15a5f36e545de1eb38298608,147,85,0xa9f3c29a1e356e2824b091a25b0971384b06540c,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,8980156262,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,7973862,1,51978,2565892,0
13,sample-1,18277312,0x0c7359b89b2451fcfe0cababf01b14ed9e81b0e6cbe79665fe3c897e1bd9ba3d,1696424387,0xbe2898d45721053d48df527f12de6f63a167713903cd0fa9378aaf8976c1a24e,84,93,0xb3e90718f40937d8ce86b5d98b744901738d260a,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,9195836341,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,10361954,1,51978,2566146,0
13,sample-1,18277100,0x88904c9927f7610b1a33065933d09d6467e88167ba93464cb83251c964eb55e7,1696421831,0xf56b6ccec7d55f86297e411b282adb4b04fe04c018f30369dfc047e43ffd59f6,109,108,0x928d0e1f39194dacaa727c3b645fd78f193785ec,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,7676186184,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,11325756,1,51894,2566358,0
13,sample-1,18277066,0x28ba8622d0577b4c2b8491a1f7a0fabd1b5fcf53b8b1e402a3868a69986f592e,1696421423,0x4a22cbacb5e312a1a4d0ca37d1fae67e5e0ee00d50e94130b704a7fd472a8d96,108,94,0x928d0e1f39194dacaa727c3b645fd78f193785ec,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,7478939584,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,12821514,1,51978,2566392,0
13,sample-1,18276697,0x2fde5ffc7153c4e721bbadbfc3c19aaeacacc79dd24b99d523fb47151db3b34c,1696416983,0x31025ab34244cb338cb5bf3a15c514da48dc5aaf7360fa90d1cd563445e3ad63,6,27,0x602ec456043c242b00da27837ab85f81c84d875d,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,6794748571,0xa22cb4650000000000000000000000002f18f339620a63e43f0839eeb18d7de1e1be4dfb0000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,1904672,1,51978,2566761,0
13,sample-1,18276334,0x46967f2fe343268ed4b14f11db407dcb4ba9718f1ad773f322397c9d909e4007,1696412579,0x0b78c8b8f6de7e793e374a8b2017a2a97d570ba3dfe1c5567868a58103d42c14,3,107,0xd68677fc305f87a71dc1fa9ffdc80a15fef3c501,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,7286040025,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,13701733,1,51978,2567124,0
13,sample-1,18276322,0x72427b0d78fbe2f0273cad1423a2b9e144660db93b8b85149a78b75b7d1ea87e,1696412435,0xffc02633d30e08294119b25c333bca85dafcdf021adf046f5ccba30582adf3ae,1,103,0x51b85ce79580497c563d0b495c3580e4d18357cc,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,67938,8025143526,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,8024761,1,51894,2567136,0
13,sample-1,18276035,0x7ca6a9394637d37459a4dc8ba2b699b0e9ce771c3edababeda0738d687ba4813,1696408955,0x4c982c895c4cc31f1e0af135f901e7c9045b1e8ec03c9e6c617898e5356743a1,1,72,0x85ab661653820d1e9592548ff4bf537391272ab7,0xc28b0f274c6ed418d85f9d9cf77c245ada6091dd,0,52344,8091711917,0xa22cb465000000000000000000000000ef6f343c16999c0145652cf924bb49cd30bf53f80000000000000000000000000000000000000000000000000000000000000001,0xa22cb465,"setApprovalForAll(address operator, bool authorized)",,7306429,1,51978,2567423,0
